"Fecha","Random Int","Boolean"
"08/10/2022","3626","False"
"08/10/2022","9009","False"
"08/10/2022","2445","False"
"08/10/2022","9407","True"
"08/10/2022","3401","False"
"08/10/2022","2425","False"
"08/10/2022","1553","False"
"08/10/2022","9347","False"
"08/10/2022","9687","True"
"08/10/2022","9867","False"
"08/10/2022","9975","True"
"08/10/2022","4507","False"
"08/10/2022","2269","False"
"08/10/2022","4535","False"
"08/10/2022","9379","True"
"08/10/2022","4522","True"
"08/10/2022","4999","True"
"08/10/2022","685","False"
"08/10/2022","3088","True"
"08/10/2022","8929","True"
"08/10/2022","8444","False"
"08/10/2022","121","False"
"08/10/2022","6992","True"
"08/10/2022","6539","True"
"08/10/2022","862","False"
"08/10/2022","2659","True"
"08/10/2022","7715","True"
"08/10/2022","5513","False"
"08/10/2022","5994","False"
"08/10/2022","4654","True"
"08/10/2022","7763","False"
"08/10/2022","9493","False"
"08/10/2022","8631","False"
"08/10/2022","2195","False"
"08/10/2022","9890","True"
"08/10/2022","7642","True"
"08/10/2022","1449","False"
"08/10/2022","8075","True"
"08/10/2022","5390","False"
"08/10/2022","8933","False"
"08/10/2022","9072","True"
"08/10/2022","4128","True"
"08/10/2022","3555","False"
"08/10/2022","3566","True"
"08/10/2022","7858","False"
"08/10/2022","3040","False"
"08/10/2022","2029","False"
"08/10/2022","6824","True"
"08/10/2022","2370","True"
"08/10/2022","6236","True"
"08/10/2022","264","True"
"08/10/2022","3265","True"
"08/10/2022","2010","False"
"08/10/2022","6944","True"
"08/10/2022","833","True"
"08/10/2022","1559","False"
"08/10/2022","3807","True"
"08/10/2022","35","True"
"08/10/2022","5805","False"
"08/10/2022","2853","True"
"08/10/2022","9813","False"
"08/10/2022","2742","True"
"08/10/2022","7912","True"
"08/10/2022","8003","False"
"08/10/2022","104","False"
"08/10/2022","2866","False"
"08/10/2022","8746","False"
"08/10/2022","1516","True"
"08/10/2022","4847","True"
"08/10/2022","3555","True"
"08/10/2022","8699","False"
"08/10/2022","2579","True"
"08/10/2022","1423","True"
"08/10/2022","6277","True"
"08/10/2022","5879","True"
"08/10/2022","5994","True"
"08/10/2022","5072","False"
"08/10/2022","6068","True"
"08/10/2022","3733","True"
"08/10/2022","8396","False"
"08/10/2022","4039","True"
"08/10/2022","5682","False"
"08/10/2022","9589","True"
"08/10/2022","7599","True"
"08/10/2022","2704","True"
"08/10/2022","7713","False"
"08/10/2022","8862","False"
"08/10/2022","5410","True"
"08/10/2022","8667","False"
"08/10/2022","6322","True"
"08/10/2022","2135","True"
"08/10/2022","6777","False"
"08/10/2022","2259","False"
"08/10/2022","2645","True"
"08/10/2022","4852","True"
"08/10/2022","624","False"
"08/10/2022","9469","False"
"08/10/2022","504","True"
"08/10/2022","1844","False"
"08/10/2022","202","False"
"08/10/2022","1751","True"
"08/10/2022","1505","True"
"08/10/2022","1414","True"
"08/10/2022","3339","False"
"08/10/2022","8702","True"
"08/10/2022","1138","False"
"08/10/2022","6216","True"
"08/10/2022","5413","True"
"08/10/2022","2065","False"
"08/10/2022","9973","True"
"08/10/2022","642","False"
"08/10/2022","425","False"
"08/10/2022","2056","True"
"08/10/2022","6556","True"
"08/10/2022","6952","True"
"08/10/2022","7991","True"
"08/10/2022","9483","False"
